embedding_model,recall@5,precision@5,ndcg@5,mrr,accuracy,abstention
all-MiniLM-L6-v2,1.0,0.7,1.0,1.0,0.0,0.0
bge-small-en-v1.5,1.0,0.8,1.0,1.0,0.0,0.0
